color,Distractor4,Distractor5,Distractor6,Distractor7,corrAns,Distractor2,Distractor3,position,cutDir,Distractor8,Distractor9,condition,Distractor1,Outer.thisRepN,Outer.thisTrialN,Outer.thisN,Outer.thisIndex,Inner.thisRepN,Inner.thisTrialN,Inner.thisN,Inner.thisIndex,keyA.keys,keyA.rt,keyB,Key pressed,Correct?,Response reaction time,keyB.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,0,0,0,0,,,,,slash,1.59384202957,,,,,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,nil,right,left,left,z,left,right,3,left,left,left,isolated,left,0,0,0,0,0,0,0,0,,,None,z,1,0.916638851166,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,left,right,left,nil,z,right,left,6,left,left,right,isolated,right,0,0,0,0,0,1,1,1,,,None,z,1,0.816776990891,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,nil,right,left,z,left,left,4,left,right,right,cluttered,right,0,0,0,0,0,2,2,2,,,None,slash,0,1.18344020844,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,right,left,right,z,left,right,7,left,nil,right,isolated,right,0,0,0,0,0,3,3,3,,,None,z,1,0.58345413208,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,left,right,left,z,nil,left,1,left,left,left,cluttered,right,0,0,0,0,0,4,4,4,,,None,slash,0,0.350104093552,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,right,nil,left,z,right,left,5,left,left,left,isolated,right,0,0,0,0,0,5,5,5,,,None,z,1,0.400023937225,,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,left,nil,left,left,slash,right,left,4,right,right,right,cluttered,left,0,0,0,0,0,6,6,6,,,slash,z,0,0.116842031479,0.0564160346985,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,left,left,right,slash,left,left,0,right,right,right,isolated,nil,0,0,0,0,0,7,7,7,,,slash,z,0,0.10005903244,0.0567169189453,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,right,nil,right,z,right,left,5,left,left,right,cluttered,right,0,0,0,0,0,8,8,8,,,slash,z,1,0.100115060806,0.0396828651428,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,left,right,nil,slash,left,right,6,right,left,left,isolated,left,0,0,0,0,0,9,9,9,,,slash,z,0,0.0835020542145,0.0732061862946,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,right,left,nil,z,right,right,6,left,left,left,cluttered,right,0,0,0,0,0,10,10,10,,,slash,z,1,0.0667791366577,0.07284283638,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,left,right,left,left,slash,left,nil,2,right,right,right,cluttered,left,0,0,0,0,0,11,11,11,,,slash,z,0,0.0834619998932,0.0731298923492,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,right,left,left,slash,left,left,7,right,nil,right,isolated,left,0,0,0,0,0,12,12,12,,,slash,z,0,0.100172996521,0.0565359592438,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,right,left,right,slash,left,left,8,right,right,nil,isolated,right,0,0,0,0,0,13,13,13,,,slash,z,0,0.050176858902,0.0565221309662,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,right,left,right,slash,left,right,8,right,right,nil,isolated,right,0,0,0,0,0,14,14,14,,,slash,z,0,0.0668268203735,0.0901479721069,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,right,right,right,slash,left,right,0,right,right,right,cluttered,nil,0,0,0,0,0,15,15,15,,,slash,z,0,0.0501050949097,0.0897300243378,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,right,left,nil,slash,left,left,6,right,left,right,cluttered,left,0,0,0,0,0,16,16,16,,,slash,z,0,0.0668108463287,0.0896010398865,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,left,right,left,z,left,nil,2,left,left,left,cluttered,right,0,0,0,0,0,17,17,17,,,slash,z,1,0.0667510032654,0.0894429683685,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,right,right,right,z,left,left,0,left,left,right,isolated,nil,0,0,0,0,0,18,18,18,,,slash,z,1,0.100158929825,0.0731530189514,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,right,right,right,z,left,right,0,left,right,left,cluttered,nil,0,0,0,0,0,19,19,19,,,slash,z,1,0.0667948722839,0.0562040805817,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,right,left,right,slash,left,right,0,right,left,right,cluttered,nil,0,0,0,0,0,20,20,20,,,slash,z,0,0.0667719841003,0.0896120071411,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,right,right,nil,z,left,left,6,left,right,left,cluttered,left,0,0,0,0,0,21,21,21,,,slash,z,1,0.0668170452118,0.0561699867249,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,right,left,nil,left,z,left,left,5,left,left,right,isolated,right,0,0,0,0,0,22,22,22,,,slash,z,1,0.066871881485,0.0899109840393,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,left,left,right,slash,nil,right,1,right,left,right,isolated,left,0,0,0,0,0,23,23,23,,,slash,z,0,0.0668060779572,0.0758509635925,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
green,left,left,right,right,z,right,nil,2,left,left,right,isolated,left,0,0,0,0,0,24,24,24,,,slash,z,1,0.0501170158386,0.089919090271,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,left,right,left,right,slash,right,left,0,right,right,left,isolated,nil,0,0,0,0,0,25,25,25,,,slash,z,0,0.000159978866577,0.106552124023,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,right,left,nil,right,z,left,right,5,left,left,right,cluttered,right,0,0,0,0,0,26,26,26,,,slash,slash,0,0.166844844818,0.139738798141,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
red,nil,right,right,right,slash,left,right,3,right,left,left,isolated,left,0,0,0,0,0,27,27,27,,,z,slash,1,0.00016713142395,0.139709949493,2017_Apr_07_1715,60.0027180949,untitled,001,2te,
